actor_principal,id
Tom Hanks,862
Robin Williams,8844
Walter Matthau,15602
Whitney Houston,31357
Steve Martin,11862
Al Pacino,949
Harrison Ford,11860
Jonathan Taylor Thomas,45325
Jean-Claude Van Damme,9091
Pierce Brosnan,710
Michael Douglas,9087
Leslie Nielsen,12110
Kevin Bacon,21032
Anthony Hopkins,10858
Geena Davis,1408
Robert De Niro,524
Kate Winslet,4584
Tim Roth,5
Jim Carrey,9273
Wesley Snipes,11517
John Travolta,8012
Sigourney Weaver,1710
Sylvester Stallone,9691
Mary Steenburgen,12665
Nicolas Cage,451
Laurence Fishburne,16420
Christina Ricci,9263
Amanda Root,17015
Ron Perlman,902
Gong Li,37557
Michelle Pfeiffer,9909
Bruce Willis,63
Craig Sheffer,78802
Christine Cavanaugh,9598
Emma Thompson,47018
Susan Sarandon,687
Kirstie Alley,33689
Alicia Silverstone,9603
James Earl Jones,34615
Ian McKellen,31174
Larenz Tate,11443
Robert Downey Jr.,35196
Christopher Lambert,9312
Nicole Kidman,577
Winona Ryder,11861
Brad Pitt,807
Irene Bedard,10530
Pascale Bussières,8391
Stephen Baldwin,629
Cynthia Rothrock,117164
Woody Allen,11448
Enrico Lo Verso,49133
Steve Guttenberg,26441
Jennifer Jason Leigh,97406
Johnny Morina,124057
Holly Hunter,9089
Philippe Noiret,11010
Lothaire Bluteau,99040
Hal Scardino,11359
Sally Field,17182
Richard Dreyfuss,2054
Shawn Wayans,10607
Sandra Bullock,19760
Pauly Shore,9536
Patrick Bergin,11525
Jerry Barone,40628
Victoria Abril,4482
Ice Cube,10634
George Clooney,755
William Baldwin,11859
Josh Hamilton,28387
Jean-Paul Belmondo,48750
Christian Slater,20927
Rick Moranis,36929
Peter Weller,9102
Nico,124626
Jack Nicholson,27526
Demi Moore,9623
Aida Mohammadkhani,46785
Andy García,400
Willeke van Ammelrooy,880
"Al Freeman, Jr.",146599
Victoria Foyt,188588
Mark Rylance,8447
Jeff Bridges,10534
Jason Alexander,17414
Chris Farley,13997
Johnny Depp,2086
Jason Patric,61548
Julia Roberts,9095
Eddie Murphy,12158
Matt Dillon,9283
John Travolta,9208
Richard Briers,40154
Vincent Cassel,406
Sadie Frost,45549
Nick Broomfield,63076
Al Pacino,11062
Luke Wilson,13685
Ellen DeGeneres,47475
Ray Liotta,2045
Adam Sandler,9614
Meryl Streep,688
Maria Schrader,11907
Tim Curry,10874
Christy Turlington,89333
Raymond J. Barry,96357
Mel Gibson,197
Robert De Niro,103
Jackie Chan,33542
Meryl Streep,43566
Helena Bonham Carter,71754
Michel Serrault,43612
Tobias Arnold,16934
Sarah Jessica Parker,10324
Andy García,78406
Halle Berry,55731
Henry Czerny,32119
Eddie Murphy,11066
Brigitte Lin,11104
Sergio Castellitto,37975
Ben Stiller,2074
Jason James Richter,27793
Miranda Rhyne,32622
Matt Dillon,73067
David Caruso,11863
Luisito Marti,55475
Kelsey Grammer,9101
Jean Seberg,123360
Dirk Shafer,5757
Jacob Tierney,39428
Robert Redford,9302
Robin Williams,11000
Martin Sheen,249882
Shari Albert,16388
Will Smith,9737
Stephen Lang,30765
Leonardo DiCaprio,10474
Alan Rickman,22279
Isabelle Huppert,30157
Tom Hanks,568
Liam Neeson,11780
Lili Taylor,34996
Val Kilmer,414
Catherine Deneuve,649
Patricia Arquette,1873
Harvey Keitel,5894
John Candy,1775
Christina Ricci,8839
Harvey Keitel,20649
Laura Linney,10329
Denzel Washington,8963
Robert Crumb,26564
Antonio Banderas,8068
Denzel Washington,8512
Bruce Willis,1572
Rose McGowan,13552
Sean Connery,6520
Jason James Richter,9073
Jonny Lee Miller,10428
Steven Weber,17447
Keanu Reeves,9886
Sylvester Stallone,9482
Pauly Shore,19326
Leo Fitzpatrick,9344
Steve Buscemi,9071
Scott Bakula,8973
Thomas Gibson,15730
Jason Lee,2293
Amy Jo Johnson,9070
Elizabeth Perkins,68274
Marina Zudina,48787
Elina Löwensohn,34574
Sandra Bullock,1642
Hugh Grant,11472
Parker Posey,36196
Christopher Walken,11980
Mia Farrow,58372
Julianne Moore,32646
Demi Moore,10533
Kurtis Blow,56088
Elizabeth Berkley,10802
Harvey Keitel,10149
Julia Roberts,18402
Natasha Henstridge,9348
Robert Duvall,139408
Ralph Fiennes,281
Catherine Deneuve,5967
Daryl Hannah,79593
Patrick Swayze,47939
Leonardo DiCaprio,36834
Patrick Swayze,9090
Steven Seagal,3512
Andie MacDowell,52856
Sandra Bernhard,77350
Keanu Reeves,9560
Kevin Costner,9804
John Travolta,31611
Jeff Bridges,65796
Albert Finney,49805
Daniel Stern,26258
Nikita Mikhalkov,50797
Katrin Cartlidge,19155
Ethan Hawke,76
Adam Sandler,11017
Alicia Silverstone,37141
Whoopi Goldberg,9382
Brad Renfro,6715
Jeffrey Combs,18256
Johnny Depp,1909
Michael Douglas,8984
Patsy Kensit,61813
Wesley Snipes,4954
Dylan McDermott,62488
Sigourney Weaver,10531
Kathy Bates,11929
Jim Carrey,8467
Sihung Lung,10451
Bruce Greenwood,20156
Dana Delany,18395
Johnny Depp,522
Meg Ryan,397
Billy Crystal,10525
Mimi Rogers,27985
Bill Farmer,15789
Jeff Goldblum,27303
Samuel L. Jackson,21183
Stefano Dionisi,10954
Ted Manson,47867
Ice Cube,72031
William Gates,14275
Melanie Lynskey,1024
Sinbad,17207
Gary Oldman,13701
Ben Stiller,14819
Christopher Lambert,32631
Tim Robbins,11777
Brad Pitt,628
Nick Nolte,87729
John G. Brennan,18713
Arnold Schwarzenegger,6280
Sean Connery,9061
Thomas Ian Nicholas,37108
David Caruso,6071
Mark Hamill,11
Winona Ryder,9587
Liesel Matthews,19101
Crissy Rock,49980
Emmanuelle Béart,17961
Marco Leonardi,18183
Brad Pitt,4476
Damon Wayans,11008
Edward Furlong,47504
Angel Aviles,32325
Warren Beatty,43742
Jessica Lange,28313
Nigel Hawthorne,11318
Robert De Niro,3036
Farrah Fawcett,40490
Steve Martin,24070
Melanie Griffith,8986
Richard Attenborough,10510
Sarah Jessica Parker,17402
Edward James Olmos,38722
Christian Slater,8438
Paul Newman,11593
Jodie Foster,1945
Sharron Corley,39310
Toru Nakamura,109560
Elizabeth Hurley,56428
Sue Price,63105
Laura San Giacomo,131957
Woody Harrelson,241
Marisa Tomei,9058
Rena Owen,527
Alyssa Milano,18220
Dustin Hoffman,6950
Jean Reno,101
Marisa Tomei,63020
William Baldwin,2307
John Travolta,680
Kadeem Hardison,41478
Sihung Lung,25296
Linus Roache,40156
John Turturro,11450
Youki Kudoh,30304
Isabelle Adjani,10452
Sharon Stone,12106
Marcello Mastroianni,3586
Irène Jacob,110
Juliette Binoche,108
Zbigniew Zamachowski,109
Ning Jing,159185
Leslie Nielsen,36357
Darlanne Fluegel,92769
Al Franken,28033
Michelle Nicastro,22586
Jeni Courtney,14334
Sylvester Stallone,2636
Kurt Russell,2164
Tim Allen,11395
Tim Robbins,278
Kerry Fox,9905
Dennis Haysbert,87078
Jorge Perugorría,12527
Kevin Spacey,20306
Jack Thompson,36614
Matt Frewer,27993
Ge You,31439
Lori Petty,9067
Billy Zane,9059
Patrick Stewart,193
Clarence Williams III,25066
Willem Dafoe,46797
Christopher Reeve,12122
Chris Farley,11381
Wallace Shawn,32636
Peter Gallagher,36141
Allen Payne,95963
Johnny Depp,1587
Denzel Washington,9271
Sandra Bullock,2064
Elijah Wood,19855
Sandra Oh,60855
Toni Collette,236
Schuyler Fisk,48287
Jim Carrey,3049
Terence Stamp,2759
Stephen Dorff,12635
Hugh Grant,10497
John Cusack,11382
Harrison Ford,9331
Susan Sarandon,10731
Whoopi Goldberg,10464
Alfre Woodard,34152
Brandon Lee,9495
Tommy Lee Jones,29973
John Goodman,888
Tom Hanks,13
Hugh Grant,712
Omar Epps,16295
Lauren Vélez,48992
Nick Nolte,10879
Nicolas Cage,10660
Jason Scott Lee,10714
Leni Riefenstahl,41647
Jonathan Taylor Thomas,8587
Keanu Reeves,1689
Heather Langenkamp,11596
Jim Carrey,854
Mel Gibson,9359
Jennifer Jason Leigh,23333
Leslie Nielsen,36593
Michael Keaton,12280
Winona Ryder,2788
Nicolas Cage,10427
Macaulay Culkin,11011
Susan Sarandon,49803
Meryl Streep,8987
Keanu Reeves,1637
Michael Keaton,15128
Jean-Claude Van Damme,8831
Arnold Schwarzenegger,36955
Andy García,10449
Jack Nicholson,10395
Kevin Costner,12160
Laurence Fishburne,40480
Albert Finney,52038
Stephen Dorff,29444
Keenen Ivory Wayans,26352
Gérard Depardieu,41580
Tura Satana,315
Allen Payne,22067
Nick Upton,18242
Jean-Claude Van Damme,11667
Michael J. Fox,32502
Steve Alden,28732
Eddie Bowz,75555
Edward James Olmos,226229
Robert Wuhl,203119
Damián Alcázar,172923
Christopher Lambert,8011
Nicholas Turturro,171857
Sam Neill,2654
Luke Perry,18069
Duane Martin,19092
Raúl Juliá,2758
Daniel Day-Lewis,10436
